group,activity,value,description,groupsize,timeframe,method,facilitation,url,pic
Create,Local customs and manners,0,Students are divided into groups. Each group reads part of a long article before class. Online students are divided into mixed breakout groups to share the information.,unlimited,30 minutes,Asynchronous,Beginner,"activities/localcustoms.html" 
Create,Video Analysis,0,A video is shown. It is interrupted frequently to highlight aspects and details. A discussion and quizzes follow.,unlimited,30 minutes,Asynchronous,Beginner,"activities/localcustoms.html" 
Create,Group formation,0,This activity helps educators form teams according to students' interests.,unlimited,30 minutes,Asynchronous,Beginner,"activities/localcustoms.html"
Create,Peer assessment,0,Students give feedback to their peers on a individual or team basis.,unlimited,30 minutes,Asynchronous,Beginner,"activities/localcustoms.html"
Create,SOS Mentimeter,0,Students develop their own multiple choice question throughout the course and provide those to fellow students to solve.,unlimited,30 minutes,Asynchronous,Beginner,"activities/localcustoms.html"
Create,Breakout Pitches,0,Students develop their own multiple choice question throughout the course and provide those to fellow students to solve.,unlimited,30 minutes,Asynchronous,Beginner,"activities/localcustoms.html"
Create,Open Exam,0,Students develop their own multiple choice question throughout the course and provide those to fellow students to solve.,unlimited,30 minutes,Asynchronous,Beginner,"activities/localcustoms.html"
Create,Touch Blue,0,Students develop their own multiple choice question throughout the course and provide those to fellow students to solve.,unlimited,30 minutes,Asynchronous,Beginner,"activities/localcustoms.html"
Create,Appreciation Circle,0,Students develop their own multiple choice question throughout the course and provide those to fellow students to solve.,unlimited,30 minutes,Asynchronous,Beginner,"activities/localcustoms.html"
Create,Flipped classroom,100,Students develop their own multiple choice question throughout the course and provide those to fellow students to solve.,unlimited,30 minutes,Asynchronous,Beginner,"activities/localcustoms.html"
Create,Student-led Questionnaire,50,Students develop their own multiple choice question throughout the course and provide those to fellow students to solve.,unlimited,30 minutes,Asynchronous,Beginner,"activities/localcustoms.html"
Create,Free Component,100,Students develop their own multiple choice question throughout the course and provide those to fellow students to solve.,unlimited,30 minutes,Asynchronous,Beginner,"activities/localcustoms.html"
Evaluate,Local customs and manners,0,Students are divided into groups. Each group reads part of a long article before class. Online students are divided into mixed breakout groups to share the information.,unlimited,30 minutes,Asynchronous,Beginner,"activities/localcustoms.html"
